,
ESS BMS and Battery Module Profile Data
,
Data retrieved: 12/10/2018 @ 08:19:30
,
BMS Software AS version:,0x0206BA42
BMS Software AS checksum:,0x03EC9675
BMS Software OS version:,0x0206BB42
BMS Software OS checksum:,0xDF1C5EF9
,
,
Mfg Data:,0x33,0x36,0x34,0x41,0x31,0x35,0x38,0x33,0x47,0x31,0x30,0x30,0x2D,0x31,0x34,0x44,0x30,0x30,0x39,0x32,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,,
,
Mfg Data (ASCII): 364A1583G100-14D0092............
,
,
<Battery Current (A)>
,
,< -350.0,-350.0,-340.0,-330.0,-320.0,-310.0,-300.0,-290.0,-280.0,-270.0,-260.0,-250.0,-240.0,-230.0,-220.0,-210.0,-200.0,-190.0,-180.0,-170.0,-160.0,-150.0,-140.0,-130.0,-120.0,-110.0,-100.0,-90.0,-80.0,-70.0,-60.0,-50.0,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,210.0,220.0,230.0,240.0,250.0,260.0,270.0,280.0,290.0,300.0,310.0,320.0,330.0,340.0,>= 350.0,,TOTAL
 ,0,0,0,0,0,0,8,54,407,3453,23524,64242,93643,101537,109545,124261,164451,218177,229787,224273,218870,235348,258755,288274,328606,402606,523512,632152,654353,691976,698297,732528,831051,1085556,1819569,14847399,13059002,2855093,1243286,925787,805686,719653,659788,662314,629026,568877,518665,446443,389411,342363,297925,308705,243929,147493,117103,107334,103629,103568,101645,84741,58573,29438,7501,1120,92,11,5,2,0,0,0,0,,51144422
<Battery Voltage (V)>
,
,< 450.0,450.0,460.0,470.0,480.0,490.0,500.0,510.0,520.0,530.0,540.0,550.0,560.0,570.0,580.0,590.0,600.0,610.0,620.0,630.0,640.0,650.0,660.0,670.0,680.0,690.0,700.0,710.0,720.0,730.0,740.0,>= 750.0,,TOTAL
 ,185,0,0,5,10,18,36,164,5545,30844,102187,290173,519349,732242,1032978,1322511,1685492,2490358,10339173,22385305,3954512,1865811,1476631,1153333,933197,512103,268400,43529,331,0,0,0,,51144422
<Power (kW)>
,
,< -200.0,-200.0,-190.0,-180.0,-170.0,-160.0,-150.0,-140.0,-130.0,-120.0,-110.0,-100.0,-90.0,-80.0,-70.0,-60.0,-50.0,-40.0,-30.0,-20.0,-10.0,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,>= 200.0,,TOTAL
 ,0,0,0,0,4,217,10772,118736,203165,249134,403561,434602,433278,507071,632435,939397,1156513,1193334,1267150,1805805,15321086,16268212,1998235,1318161,1083683,968732,920229,792936,657402,538940,441793,423117,274667,166811,145118,139900,139259,114062,60681,14827,1345,52,,51144422
<A2D Error profile data>
,
,CURRENT,VOLTAGE,POWER,,TOTAL
,0,0,0,,0
,
,
MODULE 1
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 2
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 3
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 4
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 5
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 6
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 7
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 8
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 9
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 10
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 11
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 12
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 13
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 14
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 15
,
**** MODULE NOT CONFIGURED IN IDS ****
,
,
,
MODULE 16
,
**** MODULE NOT CONFIGURED IN IDS ****
,
